Sottostante,Ticker,RSS_URL
3M,MMM,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MMM&region=US&lang=en-US
ALLIANZ,ALV.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ALV.DE&region=US&lang=en-US
ASSICURAZIONI GENERALI,G.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=G.MI&region=US&lang=en-US
Advanced Micro Devices Inc,AMD,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMD&region=US&lang=en-US
Air France - KLM,AF.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AF.PA&region=US&lang=en-US
Airbnb Inc,ABNB,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABNB&region=US&lang=en-US
Alibaba Group Holding ADR,BABA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BABA&region=US&lang=en-US
Alphabet,GOOGL,https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US
Amazon,AMZN,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US
Amgen Inc,AMGN,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMGN&region=US&lang=en-US
Amplifon SpA,AMP.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMP.MI&region=US&lang=en-US
AppLovin Corp,APP,https://feeds.finance.yahoo.com/rss/2.0/headline?s=APP&region=US&lang=en-US
Apple,AAPL,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US
Applied Materials,AMAT,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMAT&region=US&lang=en-US
Argento,SI=F,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SI=F&region=US&lang=en-US
Arm Holdings plc,ARM,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ARM&region=US&lang=en-US
AstraZeneca plc,AZN,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AZN&region=US&lang=en-US
Azimut,AZM.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AZM.MI&region=US&lang=en-US
BASF SE,BAS.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BAS.DE&region=US&lang=en-US
BMW,BMW.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMW.DE&region=US&lang=en-US
BPER Banca,BPE.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BPE.MI&region=US&lang=en-US
Baidu,BIDU,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BIDU&region=US&lang=en-US
Banca Mediolanum SpA,BMED.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMED.MI&region=US&lang=en-US
Banca Monte Paschi Siena,BMPS.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMPS.MI&region=US&lang=en-US
Banco BPM,BAMI.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BAMI.MI&region=US&lang=en-US
Bank of America,BAC,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BAC&region=US&lang=en-US
Berkshire Hathaway B,BRK-B,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BRK-B&region=US&lang=en-US
BioNTech SE,BNTX,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BNTX&region=US&lang=en-US
BlackRock Inc,BLK,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BLK&region=US&lang=en-US
Broadcom Inc,AVGO,https://feeds.finance.yahoo.com/rss/2.0/headline?s=AVGO&region=US&lang=en-US
Brunello Cucinelli SpA,BC.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BC.MI&region=US&lang=en-US
Buzzi SpA,BZU.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=BZU.MI&region=US&lang=en-US
CAC 40,^FCHI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=^FCHI&region=US&lang=en-US
Carnival Corp,CCL,https://feeds.finance.yahoo.com/rss/2.0/headline?s=CCL&region=US&lang=en-US
Caterpillar Inc,CAT,https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US
Cisco,CSCO,https://feeds.finance.yahoo.com/rss/2.0/headline?s=CSCO&region=US&lang=en-US
Coca-Cola Co,KO,https://feeds.finance.yahoo.com/rss/2.0/headline?s=KO&region=US&lang=en-US
Coinbase Global Inc,COIN,https://feeds.finance.yahoo.com/rss/2.0/headline?s=COIN&region=US&lang=en-US
Commerzbank AG,CBK.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=CBK.DE&region=US&lang=en-US
DAX,^GDAXI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=^GDAXI&region=US&lang=en-US
Danieli,DAN.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=DAN.MI&region=US&lang=en-US
Davide Campari-Milano NV,CPR.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=CPR.MI&region=US&lang=en-US
Deutsche Bank,DBK.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=DBK.DE&region=US&lang=en-US
Deutsche Telekom,DTE.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=DTE.DE&region=US&lang=en-US
DiaSorin SpA,DIA.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIA.MI&region=US&lang=en-US
EURO STOXX 50,^STOXX50E,https://feeds.finance.yahoo.com/rss/2.0/headline?s=^STOXX50E&region=US&lang=en-US
Eli Lilly and Co,LLY,https://feeds.finance.yahoo.com/rss/2.0/headline?s=LLY&region=US&lang=en-US
Enel,ENEL.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ENEL.MI&region=US&lang=en-US
Eni,ENI.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ENI.MI&region=US&lang=en-US
EssilorLuxottica,EL.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=EL.PA&region=US&lang=en-US
Exor NV,EXO.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=EXO.MI&region=US&lang=en-US
Exxon Mobil Corp,XOM,https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US
FTSE MIB,FTSEMIB.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=FTSEMIB.MI&region=US&lang=en-US
Ferrari,RACE.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=RACE.MI&region=US&lang=en-US
FinecoBank SpA,FBK.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=FBK.MI&region=US&lang=en-US
Hera,HER.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=HER.MI&region=US&lang=en-US
Hermes Intl,RMS.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=RMS.PA&region=US&lang=en-US
IBM,IBM,https://feeds.finance.yahoo.com/rss/2.0/headline?s=IBM&region=US&lang=en-US
Infineon Technologies,IFX.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=IFX.DE&region=US&lang=en-US
Infrastrutture Wireless Italiane SpA,INW.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=INW.MI&region=US&lang=en-US
Intel,INTC,https://feeds.finance.yahoo.com/rss/2.0/headline?s=INTC&region=US&lang=en-US
Intesa Sanpaolo,ISP.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ISP.MI&region=US&lang=en-US
Italgas,IG.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=IG.MI&region=US&lang=en-US
JD.com Inc,JD,https://feeds.finance.yahoo.com/rss/2.0/headline?s=JD&region=US&lang=en-US
